,task,threads,requests,time(ms)
0,hello_world,1,1000,2401.3422499999997
1,route_testing,1,1000,2445.2992499999996
2,json_parsing,1,1000,2345.7852499999995
3,hello_world,1,2000,4714.365125
4,route_testing,1,2000,4886.103041999999
5,json_parsing,1,2000,4536.100208000001
6,hello_world,1,4000,9113.10625
7,route_testing,1,4000,10482.943833
8,json_parsing,1,4000,10095.155334000005
9,hello_world,1,8000,20681.365707999994
10,route_testing,1,8000,20580.276958
11,json_parsing,1,8000,20488.983208999998
12,hello_world,2,1000,1837.7534170000017
13,route_testing,2,1000,1608.0085410000038
14,json_parsing,2,1000,1910.2836250000053
15,hello_world,2,2000,3495.874959000005
16,route_testing,2,2000,3256.583375000005
17,json_parsing,2,2000,3573.2413329999986
18,hello_world,2,4000,7274.909124999994
19,route_testing,2,4000,8080.458165999999
20,json_parsing,2,4000,8699.715541000018
21,hello_world,2,8000,15494.093666999986
22,route_testing,2,8000,15278.929832999978
23,json_parsing,2,8000,15908.391915999999
24,hello_world,4,1000,1487.0450000000233
25,route_testing,4,1000,1534.5036669999956
26,json_parsing,4,1000,1701.4694999999733
27,hello_world,4,2000,3615.898041999998
28,route_testing,4,2000,3423.780291000014
29,json_parsing,4,2000,3431.0253329999796
30,hello_world,4,4000,7028.69795800001
31,route_testing,4,4000,7105.094709000014
32,json_parsing,4,4000,6507.62125
33,hello_world,4,8000,13662.782832999994
34,route_testing,4,8000,14777.051374999985
35,json_parsing,4,8000,13798.701290999987
36,hello_world,8,1000,1659.3506670000124
37,route_testing,8,1000,1305.7388339999534
38,json_parsing,8,1000,1257.359790999999
39,hello_world,8,2000,3487.5874580000072
40,route_testing,8,2000,3133.69929199996
41,json_parsing,8,2000,3727.188333000015
42,hello_world,8,4000,7342.964625000036
43,route_testing,8,4000,5841.831958000001
44,json_parsing,8,4000,7372.630958000002
45,hello_world,8,8000,12227.512208999997
46,route_testing,8,8000,13909.164540999995
47,json_parsing,8,8000,13462.588667000035
