,task,threads,requests,time(ms)
0,hello_world,1,1000,1392.193958
1,route_testing,1,1000,1227.5607499999999
2,json_parsing,1,1000,1231.2963330000005
3,hello_world,1,2000,2521.7068749999994
4,route_testing,1,2000,2865.0189170000003
5,json_parsing,1,2000,2559.1722919999993
6,hello_world,1,4000,4561.567499999999
7,route_testing,1,4000,4938.92125
8,json_parsing,1,4000,5677.036459
9,hello_world,1,8000,11253.872500000003
10,route_testing,1,8000,10817.939875
11,json_parsing,1,8000,11741.616624999999
12,hello_world,2,1000,1455.870292
13,route_testing,2,1000,1142.755541999989
14,json_parsing,2,1000,1226.6947920000034
15,hello_world,2,2000,2285.4824169999974
16,route_testing,2,2000,2279.5380419999988
17,json_parsing,2,2000,2090.0502089999973
18,hello_world,2,4000,4506.301417000003
19,route_testing,2,4000,4492.032915999999
20,json_parsing,2,4000,4342.839584000004
21,hello_world,2,8000,8563.737416999998
22,route_testing,2,8000,9278.879875
23,json_parsing,2,8000,9783.391208000012
24,hello_world,4,1000,1069.0248749999967
25,route_testing,4,1000,1091.506332999998
26,json_parsing,4,1000,970.275708999992
27,hello_world,4,2000,2039.2538329999893
28,route_testing,4,2000,2029.7939999999953
29,json_parsing,4,2000,2172.9542499999893
30,hello_world,4,4000,3985.9493329999937
31,route_testing,4,4000,4287.566957999999
32,json_parsing,4,4000,4293.257124999996
33,hello_world,4,8000,8851.819957999993
34,route_testing,4,8000,8086.997374999982
35,json_parsing,4,8000,8317.563207999996
36,hello_world,8,1000,1395.077915999991
37,route_testing,8,1000,1176.986792000008
38,json_parsing,8,1000,1082.5368329999776
39,hello_world,8,2000,2196.8442499999983
40,route_testing,8,2000,2293.7600830000238
41,json_parsing,8,2000,2302.972667000006
42,hello_world,8,4000,3961.6539579999994
43,route_testing,8,4000,4689.530832999992
44,json_parsing,8,4000,3822.180916999997
45,hello_world,8,8000,7904.197000000011
46,route_testing,8,8000,9653.353207999999
47,json_parsing,8,8000,8600.507917000015
