,task,threads,requests,time(ms)
0,hello_world,1,1000,2632.9621659999984
1,route_testing,1,1000,2759.024832999998
2,json_parsing,1,1000,2738.7212919999974
3,hello_world,1,2000,5123.302250000002
4,route_testing,1,2000,5393.577334
5,json_parsing,1,2000,5282.922124999999
6,hello_world,1,4000,10745.249291999997
7,route_testing,1,4000,11718.023084000002
8,json_parsing,1,4000,12044.735166999999
9,hello_world,1,8000,23158.972625000006
10,route_testing,1,8000,23852.815458999998
11,json_parsing,1,8000,23711.78066600001
12,hello_world,2,1000,1812.8101249999986
13,route_testing,2,1000,1727.0455840000238
14,json_parsing,2,1000,1857.7354580000076
15,hello_world,2,2000,3548.6022500000163
16,route_testing,2,2000,3941.806541999995
17,json_parsing,2,2000,3776.1052090000076
18,hello_world,2,4000,7477.753250000006
19,route_testing,2,4000,8039.393249999989
20,json_parsing,2,4000,8490.863207999979
21,hello_world,2,8000,17399.29833399998
22,route_testing,2,8000,16944.658750000002
23,json_parsing,2,8000,16851.528000000002
24,hello_world,4,1000,1570.4879999999832
25,route_testing,4,1000,1519.3612090000101
26,json_parsing,4,1000,1552.451082999994
27,hello_world,4,2000,3330.296624999988
28,route_testing,4,2000,3605.1780829999984
29,json_parsing,4,2000,3666.547334000001
30,hello_world,4,4000,7023.346582999977
31,route_testing,4,4000,7943.09854100004
32,json_parsing,4,4000,7846.632249999971
33,hello_world,4,8000,14040.42687499998
34,route_testing,4,8000,14942.349834000026
35,json_parsing,4,8000,14672.390790999998
36,hello_world,8,1000,1460.6890419999559
37,route_testing,8,1000,1633.1224580000026
38,json_parsing,8,1000,1629.9300420000122
39,hello_world,8,2000,2848.292624999999
40,route_testing,8,2000,3912.071708000042
41,json_parsing,8,2000,3221.8319170000314
42,hello_world,8,4000,7025.262209000004
43,route_testing,8,4000,7062.611375000017
44,json_parsing,8,4000,7059.241375
45,hello_world,8,8000,13357.443082999964
46,route_testing,8,8000,13975.828458999957
47,json_parsing,8,8000,13955.202832999987
