,task,threads,requests,time(ms)
0,hello_world,1,1000,1347.5942920000002
1,route_testing,1,1000,1349.2577079999996
2,json_parsing,1,1000,1342.3518750000003
3,hello_world,1,2000,2769.5392499999994
4,route_testing,1,2000,2798.8936250000015
5,json_parsing,1,2000,2688.1647499999985
6,hello_world,1,4000,4848.997541999999
7,route_testing,1,4000,5632.833916000002
8,json_parsing,1,4000,6060.530708000002
9,hello_world,1,8000,12076.117208999996
10,route_testing,1,8000,12419.407625000005
11,json_parsing,1,8000,12360.628375000004
12,hello_world,2,1000,1517.141707999997
13,route_testing,2,1000,1250.9172500000004
14,json_parsing,2,1000,1275.3939170000024
15,hello_world,2,2000,2248.0960839999966
16,route_testing,2,2000,3093.649374999998
17,json_parsing,2,2000,2345.132290999999
18,hello_world,2,4000,4638.987125
19,route_testing,2,4000,4947.660208000002
20,json_parsing,2,4000,4428.2327920000025
21,hello_world,2,8000,9184.294250000008
22,route_testing,2,8000,10131.722875000009
23,json_parsing,2,8000,9345.21320799999
24,hello_world,4,1000,1177.4979580000036
25,route_testing,4,1000,990.2992910000137
26,json_parsing,4,1000,1093.1169170000032
27,hello_world,4,2000,1853.3132919999957
28,route_testing,4,2000,2259.1004170000133
29,json_parsing,4,2000,2259.781583000006
30,hello_world,4,4000,4263.362333000004
31,route_testing,4,4000,4536.527667000001
32,json_parsing,4,4000,4545.469374999982
33,hello_world,4,8000,8399.80933299998
34,route_testing,4,8000,8888.15600000001
35,json_parsing,4,8000,10381.677374999981
36,hello_world,8,1000,1153.1368750000013
37,route_testing,8,1000,954.3357500000127
38,json_parsing,8,1000,1301.3062919999925
39,hello_world,8,2000,1914.0941249999912
40,route_testing,8,2000,2205.3931250000005
41,json_parsing,8,2000,2301.3890830000037
42,hello_world,8,4000,3801.0906250000007
43,route_testing,8,4000,4194.708292000001
44,json_parsing,8,4000,4502.476292000011
45,hello_world,8,8000,8936.638415999994
46,route_testing,8,8000,9050.515166999987
47,json_parsing,8,8000,7980.745292000023
